%negsmileykrampf	positive
%possmiley33333333	negative
%possmiley33333333333333	positive
%possmileyanke	positive
%possmileyguten	negative
%possmileyiesmal	negative
%possmileyino	positive
%possmileyjo	positive
%possmileylg	positive
%possmileymeiner	negative
%possmileysfz	positive
%possmileysie	positive
%possmileyxxx	positive
%possmiley³	negative
sonnelicht	negative
sonnenplätzchen	positive
sonnenreichen	negative
sonnenstich	negative
sonnsee	negative
sonore	positive
sooonneee	positive
sooooooooooooooooooooooo	positive
sooss	positive
sorgenbrecher	negative
sorte.	negative
sowiso	positive
sozialevolontär	positive
sozialromantikhintergrund	negative
spacig	positive
spagel	positive
spalt	negative
spammercommunity	positive
spargelcremesuppe	negative
spargelsalat	positive
sparky	negative
spazier	positive
speckbauch	negative
speculum	positive
spellyournamewithrammsteinsongs	negative
spiegelbrille	positive
spiegelfoto	positive
spiegelfotos	positive
spielcharakter	positive
spieldrang	negative
spiiieeeellll	negative
spitzenstoff	negative
spitzohr	positive
spliff	positive
splittern	positive
spn	negative
spok	positive
spongbob	negative
spongebozz	positive
sport.	positive
sportbegeistert	positive
sportgeschäft	negative
sportspektakel	negative
sprachmemo	negative
sprachs	negative
sprachschub	positive
sprallo	positive
sprayende	negative
sprechstimme	positive
sprenkel	positive
springbrunnen	negative
sprudelliegen	negative
sprössling	positive
spüler	negative
ssiges	negative
stabilos	negative
stachelschwein	negative
stadessen	positive
stahlhelmfraktion	positive
stallgemeinschaft	negative
standhaft.	positive
standst	positive
stangentanz	negative
stanze|stanzen	negative
starbucksverkäufer	negative
staskowiak	positive
statistikverbesserung	negative
staub.	negative
staubfänger	negative
staypimmel	negative
stechers	negative
stehenlassen	negative
steier	positive
steiinoptik	positive
stengel	positive
sterb	positive
sterben	positive
sternchenverteiler	positive
sternenzerstoiber	negative
stewardess	positive
stiefdad	positive
stiefelabsatz	negative
stiefpapi	positive
stilikonen	negative
stillkissen	positive
stillst	negative
stimmfang	positive
stimmungsschwankung	negative
stirnküsse	negative
stockdunkle	positive
stockschirme	negative
stoffhose	negative
stofftasche	negative
stormcloud	negative
stotterst	negative
stowasser	positive
straciatella	positive
strapon	positive
strapshalter	positive
strassapplikation	negative
strassenband	positive
strassenmusikerin	negative
strassenseite	positive
strasssteinen	positive
streitest	negative
streitlustig	negative
stretchkleid	positive
streunen	negative
strickliese	positive
stricktreffen	negative
strick|stricken	negative
strumphose	negative
stubenrocker	negative
stuie	negative
stupse	negative
sturmmaske	positive
sturr	negative
stute.	positive
styla	positive
stéphanie	negative
stöckel	positive
störrisch	negative
suchtet	negative
suezz	negative
suffie	negative
suhlen	negative
suizidwelle	positive
sulzmann	positive
supeerrr	positive
superfan	negative
superheldenkostüm	positive
superhübsch	negative
superhübsche	negative
supernatural	negative
supersonniges	positive
supersüsses	positive
supporten	negative
surferboys	positive
surp	negative
surreal	negative
surrealen	positive
susannah	negative
sushi.	negative
suspektesten	positive
suuuu	negative
svend	positive
svene	negative
swaaaaag	negative
swaghetti	positive
sweeett	positive
sweetdesire	positive
sweetsteffi001	negative
sweetsusi	negative
swiet	positive
swingerpärchen	positive
sylvester	positive
sylvi	negative
sächlich	negative
sächsilüüte	negative
sänger	negative
süb	negative
südgarten	negative
südländisch	negative
süffelt	negative
süffig	negative
süse	positive
süssenbach	negative
süssling	negative
süz	negative
süüüsss	positive
taaaag	negative
tabaluga	positive
tabby	positive
tablett	positive
tachchen	positive
tafelwerk	negative
taff	positive
tagebart	negative
tagescafe	negative
tageslichtlampe	positive
tagesrhythmus	negative
tagsforlikes	negative
tammara29	negative
tampopo	negative
tanu	negative
tanzst	positive
tanzstudenten	positive
tanztraining	positive
tapezierarbeit	positive
tarnklamotte	positive
taschenaschenbecher	positive
taschenuhr	negative
tasern	negative
tattootermin	negative
tattop	negative
tauchbecken	negative
taxifahrer	negative
tbpafk	positive
teamaufbau	positive
teamtea	positive
technikbegeistert	negative
teebaumöl	positive
teeglas	positive
teeniefreundin	positive
teenygirl	positive
teetisch	positive
teier	negative
teigfladen	negative
telefoieren	positive
tellerrock	positive
tellytellz	negative
tenimyu	positive
tennie	positive
tensor	positive
tentakeln	negative
teppat	positive
teppich.	positive
teppichmesser	negative
terrassentür	negative
teufelsküche	negative
textcontainer	positive
textnachrichten	positive
thailänderin	negative
theaterpädagogin	positive
thefaculty	negative
thehehe	positive
thehidden	negative
thekohas	positive
theredcubetv	negative
thermalbad	positive
thommy	positive
thunfisch	positive
tierdokus	positive
tiergifs	negative
tihihi	negative
timberlands	positive
tischgebet	negative
titkoja	positive
tittenava	negative
tittenmassage	positive
toasty	positive
toblerone	positive
tobsuchtsanfall	positive
tockner	negative
tokiohotelthanksfollowspree	positive
tollige	positive
tollpatschigen	positive
tomatenbrotparty	positive
tonni	negative
tonstudio	negative
tooooodes	negative
topfenpalatschinken	negative
torchwood	positive
totknuddeln	positive
totkrank	positive
toupiert	positive
tourgeschenk	negative
trabireiter	negative
trainingsanzug	positive
trainingspartnerin	negative
trannen	positive
trashig	negative
trashiger	negative
trashnight	negative
trashtazmani	negative
trauen	negative
traumgebilde	positive
traumhaus	positive
traumpirat	negative
traumpärchen	negative
traumschuhe	positive
trebs	positive
trekkingtour	positive
trendigen	positive
trendsetter	positive
tret	negative
trette	negative
tribühne	positive
tribünendach	positive
triforce	negative
trilby	positive
trockenfrucht	negative
trocknen	positive
trocknungsgerät	negative
trolololol	positive
trololololololo	negative
trommelfloh	negative
trotzdem.	positive
trotzden	positive
troya	positive
troztem	negative
trulle	positive
trz.	negative
trägershirt	positive
trägertops	negative
träinen	positive
trüb	negative
tschaui	negative
tschuldige	positive
tschöö	positive
tschüüüs	negative
tuerkis	positive
turino	negative
tute|tuten	negative
tvtotal	negative
twafl	positive
twelite	negative
twink	positive
twittbürger	positive
twitterabstinent	negative
twitteraccount	negative
twitterbar	positive
twittere.	negative
twittererin	negative
twittergemeinde	positive
twitterianer	positive
twitterinen	positive
twitteristas	negative
twitternamen	negative
twitterrunde	negative
twittreim	negative
tws	negative
typie	negative
tyra	positive
tzaziki	negative
tzz	negative
tzzz	positive
tätet	negative
täusch	negative
tölen	positive
tövbe	negative
tøsen	positive
tüdelü	positive
tüdelüü	negative
türkisblau	positive
türrahmen	negative
türramen	positive
ubd	positive
udn	positive
uffgeregt	negative
ufgwacht	negative
uhhi	positive
ukelele	positive
ullmann	positive
um3	negative
umarmt	negative
umbringen.	positive
umdrehn	positive
umflausch	negative
umgekleidet	negative
umgerannt	positive
umschnall	positive
umschnalldildos	positive
umsich	positive
umsorge	positive
umzugskiste	negative
umzugsstress	positive
unaktiv	negative
unangenehm	negative
unbedarft	negative
unbehaart	negative
unbequem	negative
unbescholte	positive
unbeschreiblich.	negative
unbeschrieblich	negative
uncoole	positive
unddann	negative
undurchsichtig.	positive
uneigennützig	positive
uneinsichtig	positive
unerfreulich	negative
unfallambulanz	positive
unfollowen	negative
ungarin	positive
ungelogen	negative
ungeniert	positive
ungesund	negative
ungeziefer	negative
ungezogen	positive
ungeübt	positive
unglücklich	negative
ungünstig	negative
unikat	negative
universalist	negative
universalmedizin	positive
universitätsstadt	negative
unizeug	negative
unkommunikativ	negative
unkpomplizierte	negative
unmac	negative
unrecht	negative
unschlüssig	positive
unschön	negative
unterholz	positive
unterhöschen	negative
unterlegen	negative
untermotorisiert	positive
untersuchungsheft	positive
unvernünftig	negative
unvollkommenheit	negative
unwiderstehli	positive
unwiederstehlich	negative
unwissend	negative
unzufriedenes	negative
unästhetisch	negative
urgh	negative
urinieren	positive
urlaubsende	negative
urlaubsland	negative
urlaubsort	positive
urlaubsziel	negative
ursprungsfrage	negative
uuuuunglaublich	negative
uzi	positive
vaginas	negative
valldemossa	positive
vampir	negative
vanillefarben	negative
vanillekipferl	positive
vanilleschote	positive
vanillezucker	negative
vaseline	positive
vatti	positive
vegetarierin	positive
veloursleder	positive
velut	positive
vendola	negative
verabscheuen	negative
verarschst	positive
verbittern	positive
verblichen	positive
verdamm	positive
verdauungs	positive
verdiens	negative
verdirb	positive
verdorben	negative
verfi	positive
verfic	positive
verfluchen.	negative
verfärben	negative
verführun	negative
vergammel	positive
verhauen	positive
verhült	negative
verkauffe	positive
verkehrtrum	positive
verknalle	negative
verknallt	positive
verkopfter	positive
verkriechst	positive
verkühlung	positive
verlangem	negative
verlauft	positive
verletzend	negative
verliehrt	negative
vermissse	negative
vernunftbegabt	negative
vernüftigen	positive
verpartnern	positive
verpeilt.	negative
verpenn	negative
verpennen	negative
verplanter	positive
verrufen	negative
verrücktesachenmachenwennmanverliebtist	negative
versaue	negative
verschisse	positive
verschwörungstweet	positive
versicherungstyp	positive
verslein	positive
versorgst	negative
versprechs	positive
versteinern	negative
verstöre	negative
versüssung	negative
vertilg	positive
vertrauensvoll	negative
verwanschaft	positive
verweilen	positive
verwohne	negative
verwöhnpension	negative
verwöhnprogramm	negative
verzehrst	negative
verzichte.	negative
verziehn	positive
verziere	negative
verzweifelter	negative
veräppelt	negative
vid	positive
videooo	negative
videowunsch	positive
viech	positive
viedo	negative
vieeeeele	positive
vieeeele	negative
vierteilen	positive
vika	positive
vilt	positive
visagistic	positive
vladimir	negative
vogelnest	positive
vogelwilde	negative
voher	positive
volant	negative
vollblut	negative
vollgeil	positive
vollgewichst	negative
vollglatze	negative
vollkommen	positive
volllabert	positive
vollspast	negative
vollspastis	positive
vollstopfen	positive
volltrottel	positive
voollll	negative
voract	positive
vorahnung	negative
vorbeiziehen	positive
vorglühen	positive
vorgruppe	positive
vorhut	negative
vorkochen	positive
vormittag	positive
vornehmt	negative
vornimmst	negative
vortanzen	negative
voyeur	negative
vr100	negative
vreni	negative
völkchen	negative
vöu	negative
w23	positive
waaaaah	positive
waaaaas	positive
waaaah	positive
wackeldackel	positive
wackelpudding	positive
waffenschein	negative
waffentechnisch	positive
wahlkabinen.	positive
wahnsinng	positive
wahnsinns	positive
wahr.	positive
wakame	negative
walther	negative
wambir	positive
wandern	negative
wandsetal	negative
wannebe	positive
wardinator	positive
ward’s	negative
warlander	negative
warn.	positive
wart|warte|warten	positive
waschbecken	negative
waschen.	negative
waschsalon	positive
wasser.	positive
wasserkaskaden	positive
wasserkocher	negative
wassern	positive
wattebauschen	negative
waxing	negative
we	positive
webcamfotos	positive
webdesignerin	negative
wecker	positive
wegat	negative
wegbier	negative
weger	positive
wegessen	negative
weggeboxt	positive
weggefeiert	negative
weggehn	negative
weggeleckt	negative
weggesetzt	positive
wegpennen	negative
weht.	positive
weibas	negative
weibsbild	negative
weilichskann	negative
weinende	negative
weinkeller	positive
weinkenner	positive
weinstrasse	positive
weintest	negative
weish	positive
weissbauch	positive
weissesr	negative
weiteer	negative
weitergepennt	positive
weitermachen	negative
weiterschicken	positive
weiterträumen	positive
wellensitische	positive
welpenfotos	negative
weltfrieden	negative
weltreise	positive
weltschönste	negative
welzweit	positive
wengal	negative
wennigstens	positive
wennihrmichimrlkennenwürdet	positive
wenn’s	negative
werbayernmünchenmag	positive
werbebude	positive
werbegeschenk	negative
werdest	positive
wertschätzt	negative
westpaket	positive
wetterkerze	negative
wetterservice	positive
wetterumschwung	negative
wetterunabhängig	positive
wettr	negative
wgds	positive
whatsappnachrichten	negative
whatwhat	positive
wheeey	negative
whoa	negative
wic	negative
wichskinder	positive
wichtig	positive
wichtiig	positive
wickeltuch	positive
widde	positive
widerlich	negative
widerspenstig	positive
widerwärtig	negative
wiedergebären	negative
wiedl	positive
wiets	positive
wievielt	negative
wigs	positive
wigwam	negative
wiiiiie	negative
wild.	positive
wilden.	negative
wildernder	negative
wildfa	negative
willkommem	negative
wintermüde	negative
winterpulli	positive
wintertraining	negative
winti	negative
winzermeister	negative
winzigkeit	negative
wirsch	negative
wisoo	negative
witzebuch	positive
witzfigur	positive
witzige	positive
wiviele	positive
wixe	negative
wixxen	negative
wneig	negative
wochen	negative
wochenede	positive
wochenenddomizil	negative
wochenendeende	positive
wodi	positive
woggy	positive
wohaa	positive
wohlschmeckend	positive
wohnor	negative
wohns	negative
wohnug	negative
wohnzimmerwand	negative
woistolivia	negative
wolke.	positive
wolkenfreier	negative
wollmäusen	positive
wollt.	positive
wolten	positive
wommy	positive
wonderwall	negative
woodkid	negative
wordpressseite	negative
wortgewandtheit	negative
wuchenend	negative
wulli	positive
wundercreme	negative
wunderherrlichen	positive
wunderhund	positive
wunderschöner	negative
wunderschööööön	negative
wundeschön	negative
wundeschöner	positive
wunschhalsband	positive
wunschoutfit	negative
wunschsongs	negative
wurscht	negative
wurzelimperium	positive
wuselnde	positive
wushi	negative
wusstes	negative
wutze	negative
wynona	negative
wã¼rdest	positive
währst	positive
wäschespinne	positive
wäscheständer	negative
wää	positive
wäääh	positive
wünderschönen	positive
wüns	negative
wünscg	negative
wünsh	positive
würgreiz	positive
würschtel	negative
x215cm	negative
x3333	positive
x333333	negative
xdich	negative
y'know	negative
yagma	positive
yamada	positive
yeahhhhhhhh	positive
yeeear	positive
yeehaaa	negative
ylva	positive
ymca	positive
yololatte	positive
yongguks	positive
yosha	negative
youtubern	positive
yupii	positive
yuppies	negative
yuri	negative
yutaka	negative
yäy	positive
yüäär	positive
zackzack	negative
zahnspangen	negative
zahnstange	negative
zahnärzten	positive
zartbitterschokolade	positive
zauberfee	negative
zauberhaftigst	positive
zayns	negative
zazabrooklyn	positive
zdz	positive
zehensocken	positive
zeichentrickfigur	positive
zeinfeld	positive
zeitlupenknopf	negative
zelten	positive
zerdrücke	negative
zerfetzen	negative
zerfickt	negative
zeri	positive
zerkratzen	negative
zermatscht	negative
zermatschte	positive
zerplatzen	negative
zerren	negative
zerst	positive
zerteil	positive
zettel	negative
zeuch	negative
zeugen	positive
zickende	positive
ziegenbärtchen	negative
ziernaht	negative
zigarettenrauch	positive
zigarreten	positive
ziischtig	positive
zimmerboy	negative
zimmerbrunnen	positive
zimmerwand	positive
zimt.	negative
zinha	negative
zischtig	positive
zitronencreme	positive
zmüed	negative
zockst	positive
zockt	positive
zombieaugen	negative
zrugg	positive
zuballern	negative
zubeißen	negative
zuchtstute	negative
zuckerherz	negative
zuckst	positive
zudröhnen	negative
zugekniffen	negative
zugerotzt	positive
zugfahren	positive
zuha	negative
zukriegen	positive
zulenken	positive
zupfer	negative
zureiten	positive
zurennt	negative
zurúck	negative
zurückgrüßen	positive
zusammen.	negative
zusammenfalten	positive
zusammenpacken	positive
zusammenschmeisst	positive
zuschauerin	negative
zuschmeissen	negative
zuspamt	positive
zuu	positive
zuver	positive
zuvergessen	negative
zuverlässi	negative
zuziehst	positive
zvväggg	negative
zweiohrküken	negative
zweitwohnung	positive
zweizimmerwohnung	negative
zwergdackelwelpen	positive
zwergrex	negative
zwetna	positive
zwick	negative
zwiebelmett	negative
zwiebelrostbraten	positive
zwiebelsaft	negative
zwilling.	positive
zwitschern.	positive
zwitschernd	positive
zwulf	positive
zwängen	positive
zzzz	positive
zämme	positive
zärtliche	positive
zürichsee	negative
den	positive
°a°	positive
°°	negative
ä3	negative
äglichen	negative
ält	negative
ärmellos	negative
äähh	positive
ääähm	positive
çay	positive
öhhhm	positive
öhm	positive
übel	negative
überfliegst	negative
überfressen	positive
überlegen	positive
überlegs	positive
übernacht	positive
überra	negative
überragend	positive
überraschungsparty	positive
überrumpeln	positive
überstundenabbau	positive
überweisungszweck	negative
ütendorf	negative
ړײ	negative
‘digga’	negative
‘nem	positive
’nem	positive
☆☆	negative
☕☕☕	negative
♥kostenlos	positive
♥lich	positive
♥liebe	positive
♥♡♥♡	negative
♪	negative
✌✨	negative
❄⛄	negative
❣	positive
❤liche	negative
🎀	positive
🎉	negative
👏👏👏	negative
👗	positive
💇	positive
💛☀✨	positive
😳	negative
